platform,social_id,username,fullname,avatar_url,is_verified,subscribers_count,engagement_avg,authentic_engagement,audience_geo_country_1_code,audience_geo_country_1_prc,blogger_thematics,video_views_avg,likes_avg,comments_avg,shares_avg,description,tier,hs_value,aqs,additional_countries
Instagram,615105755,byeonwooseok,변우석  Woo Seok Byeon,https://cdn.hypeauditor.com/img/instagram/user/615105755.jpg?w=150&till=1722470340&sign=a65e6607fb71c7f8d70f6d59ff95ff22,True,9219020,3531954.0,3097917.0,id,18.67,,,,,,,,,,
Instagram,417191351,bypamella,PAMELLA,https://cdn.hypeauditor.com/img/instagram/user/417191351.jpg?w=150&till=1722470340&sign=42ddb6c9b941842bf239c4a30f49134a,True,9896628,139199.0,81339.0,br,84.5,['Shows'],,,,,,,,,
Instagram,11244852,c.syresmith,Jaden Smith,https://cdn.hypeauditor.com/img/instagram/user/11244852.jpg?w=150&till=1722470340&sign=b9dfa172d65cbb3fa03c9524945fe5d3,True,19548212,96261.0,68716.0,us,31.81,"['Cinema & Actors/actresses', 'Lifestyle']",,,,,,,,,
Instagram,5749406795,caioluccass,CAIOLUCCA$ 🇧🇷,https://cdn.hypeauditor.com/img/instagram/user/5749406795.jpg?w=150&till=1722470340&sign=dd6af8a4e578cebdc0fb12b6c1f08968,True,2211604,348778.0,255048.0,br,80.97,"['Lifestyle', 'Photography']",,,,,,,,,
Instagram,6336894354,caiomitando,Caio Mitando,https://cdn.hypeauditor.com/img/instagram/user/6336894354.jpg?w=150&till=1722470340&sign=cf36f56581b1b363eda3bdf8bac4bd6e,False,467000,1448265.0,999731.0,br,86.45,"['Lifestyle', 'Art/Artists']",,,,,,,,,
Instagram,302134774,callofduty,Call of Duty,https://cdn.hypeauditor.com/img/instagram/user/302134774.jpg?w=150&till=1722470340&sign=58b1588ff257068379035666fbf5f9b9,True,12093544,49812.0,41425.0,us,30.5,['Computers & Gadgets'],,,,,,,,,
Instagram,237513547,calvinharris,Calvin Harris,https://cdn.hypeauditor.com/img/instagram/user/237513547.jpg?w=150&till=1722470340&sign=67d15211e9634a4e6c7522af705fbf1f,True,11371342,86472.0,63691.0,us,20.45,"['Music', 'Art/Artists']",,,,,,,,,
Instagram,193154362,calvinklein,Calvin Klein,https://cdn.hypeauditor.com/img/instagram/user/193154362.jpg?w=150&till=1722470340&sign=5546af2ffbfbdc53f251fd812c292995,True,25679202,19976.0,14817.0,us,16.52,"['Clothing & Outfits', 'Fashion']",,,,,,,,,
Instagram,647710534,camerondiaz,Cameron Diaz,https://cdn.hypeauditor.com/img/instagram/user/647710534.jpg?w=150&till=1722470340&sign=c92f3d0e48319959337f55e7537169ba,True,11971523,81842.0,60232.0,us,25.24,['Cinema & Actors/actresses'],,,,,,,,,
Instagram,1464563037,camilabarrosofc,Camila Barros,https://cdn.hypeauditor.com/img/instagram/user/1464563037.jpg?w=150&till=1722470340&sign=d6e8bef64aa8d3886e175d37ff45899f,False,4555639,129663.0,98156.0,br,82.04,['Lifestyle'],,,,,,,,,
